text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @onehandclappin1: Telstra, *sigh* #Telstra #TelstraOutage #again #clowns https://t.co/z3IOjdrmr4",FALSE,0,NA,8/04/2016 8:30,FALSE,NA,7.18355E+17,NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>",MadKiwiinNZ,2,TRUE,FALSE,NA,NA
@Telstra Your service is a disgrace. #TelFraud #TelstraOutage #Telstra,FALSE,1,Telstra,8/04/2016 8:24,FALSE,NA,7.18354E+17,61636429,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UniqueImagesAus,0,FALSE,FALSE,NA,NA
"EDGE? I'm on The Edge network atm, that's how patchy your reception is. @Telstra #telstraoutage",FALSE,0,NA,8/04/2016 7:57,FALSE,NA,7.18347E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",carmen________,0,FALSE,FALSE,NA,NA
"RT @onehandclappin1: Telstra, *sigh* #Telstra #TelstraOutage #again #clowns https://t.co/z3IOjdrmr4",FALSE,0,NA,8/04/2016 6:54,FALSE,NA,7.18331E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",zuelmasterling,2,TRUE,FALSE,NA,NA
"Telstra, *sigh* #Telstra #TelstraOutage #again #clowns https://t.co/z3IOjdrmr4",FALSE,0,NA,8/04/2016 6:34,FALSE,NA,7.18326E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",onehandclappin1,2,FALSE,FALSE,NA,NA
Another Telstra outage for home internet with a 3 day etc and no explanation. @Telstra  anymore more info? #TelstraOutage,FALSE,2,NA,8/04/2016 6:08,FALSE,NA,7.1832E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",a_kompos,0,FALSE,FALSE,NA,NA
"RT @thegeekhub: #CyberSecurity News at #TheGeekHub https://t.co/xYqYgnq4aL

#technews #infosec #News #TelstraOutage #FBIvsApple https://t.c…",FALSE,0,NA,8/04/2016 5:15,FALSE,NA,7.18306E+17,NA,"<a href=""http://industriousdigital.com"" rel=""nofollow"">techgurgitator-autopost</a>",TechGurgitator,2,TRUE,FALSE,NA,NA
"RT @thegeekhub: #CyberSecurity News at #TheGeekHub https://t.co/xYqYgnq4aL

#technews #infosec #News #TelstraOutage #FBIvsApple https://t.c…",FALSE,0,NA,8/04/2016 5:10,FALSE,NA,7.18305E+17,NA,"<a href=""https://ho.com"" rel=""nofollow"">auto is the only way it can be </a>",sectest9,2,TRUE,FALSE,NA,NA
"#CyberSecurity News at #TheGeekHub https://t.co/xYqYgnq4aL

#technews #infosec #News #TelstraOutage #FBIvsApple https://t.co/JlYGePh6CX",FALSE,0,NA,8/04/2016 5:10,FALSE,NA,7.18305E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",thegeekhub,2,FALSE,FALSE,NA,NA
#TelstraOutage  no internet for the next 4 days . family and kids are already pissed off. Thanks #Telstra,FALSE,1,NA,7/04/2016 12:24,FALSE,NA,7.18052E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SubiSubhojitdeb,0,FALSE,FALSE,NA,NA
Is anyone else have tech issues with Telstra broadband/cable #TelstraOutage #telstraissoshit,FALSE,1,NA,7/04/2016 9:52,FALSE,NA,7.18014E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kammcm,0,FALSE,FALSE,NA,NA
RT @TelecomAsia: Telstra conducting network review after outages. https://t.co/lGGTdLXBur #TelstraOutage #Telstra,FALSE,0,NA,7/04/2016 7:45,FALSE,NA,7.17982E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",adeelkhan77,1,TRUE,FALSE,NA,NA
